900032,https://www.commercialguru.com.sg/listing/22086801/for-sale-t-space,For Sale - T-Space,T-Space,1 Tampines North Drive 1,3283,900000,274.14,,4h
900033,https://www.commercialguru.com.sg/listing/21824786/for-sale-603-ang-mo-kio-avenue-5,For Sale - 603 Ang Mo Kio Avenue 5,603 Ang Mo Kio Avenue 5,603 Ang Mo Kio Avenue 5,1593,2088000,"1,310.73",,5h
900034,https://www.commercialguru.com.sg/listing/22256541/for-sale-emerald-garden,For Sale - Emerald Garden,Emerald Garden,,840,3000000,"3,571.43",,5h
900035,https://www.commercialguru.com.sg/listing/22385922/for-sale-frontier,For Sale - Frontier,Frontier,50 Ubi Avenue 3,2097,830000,395.80,,5h
900036,https://www.commercialguru.com.sg/listing/22416517/for-sale-262-jurong-east-street-24,For Sale - 262 Jurong East Street 24,262 Jurong East Street 24,262 Jurong East Street 24,3681,5500000,"1,494.16",,5h
900037,https://www.commercialguru.com.sg/listing/22057565/for-sale-orchid-hotel,For Sale - Orchid Hotel,Orchid Hotel,1 Tras Link,301,2080000,"6,910.30",,5h
900038,https://www.commercialguru.com.sg/listing/21944357/for-sale-253-jalan-besar,For Sale - 253 Jalan Besar,253 Jalan Besar,Jalan Besar,2336,2500000,"1,070.21",,5h
900039,https://www.commercialguru.com.sg/listing/22223258/for-sale-gb-building,For Sale - Gb Building,Gb Building,143 Cecil Street,10850,24600000,"2,267.28",,5h
900040,https://www.commercialguru.com.sg/listing/22381892/for-sale-301-ubi-avenue-1,For Sale - 301 Ubi Avenue 1,301 Ubi Avenue 1,301 Ubi Avenue 1,590,2700000,"4,576.27",,5h
900041,https://www.commercialguru.com.sg/listing/22382385/for-sale-peace-centre,For Sale - Peace Centre,Peace Centre,1 Sophia Road,5600,17800000,"3,178.57",,5h
900042,https://www.commercialguru.com.sg/listing/22224367/for-sale-one-commonwealth,For Sale - One Commonwealth,One Commonwealth,1 COMMONWEALTH Drive,745,490000,657.72,,5h
900043,https://www.commercialguru.com.sg/listing/22258532/for-sale-ubi-techpark,For Sale - Ubi Techpark,Ubi Techpark,10 Ubi Crescent,1604,770000,480.05,,5h
900044,https://www.commercialguru.com.sg/listing/22847705/for-sale-almost-5-rental-yield-for-this-amazing-shophouse,For Sale - Almost 5% rental yield for this amazing shophouse!,Almost 5% rental yield for this amazing shophouse!,Yishun St 22,1485,2900000,"1,952.86",,5h
900045,https://www.commercialguru.com.sg/listing/22350344/for-sale-woodlands-e-terrace,For Sale - Woodlands E-Terrace,Woodlands E-Terrace,Woodlands Industrial Park E5,7405,3100000,418.64,,5h
900046,https://www.commercialguru.com.sg/listing/22215354/for-sale-bukit-timah-plaza,For Sale - Bukit Timah Plaza,Bukit Timah Plaza,1 Jalan Anak Bukit,367,1149999,"3,133.51",,5h
900047,https://www.commercialguru.com.sg/listing/22885139/for-sale-407-ang-mo-kio-avenue-10,For Sale - 407 Ang Mo Kio Avenue 10,407 Ang Mo Kio Avenue 10,407 Ang Mo Kio Avenue 10,1700,1998000,"1,175.29",,5h
900048,https://www.commercialguru.com.sg/listing/22884437/for-sale-214-serangoon-avenue-4,For Sale - 214 Serangoon Avenue 4,214 Serangoon Avenue 4,214 Serangoon Avenue 4,1688,1680000,995.26,,5h
900049,https://www.commercialguru.com.sg/listing/22934389/for-sale-north-link-building,For Sale - North Link Building,North Link Building,10 Admiralty Street,5188,890000,171.55,,5h
900050,https://www.commercialguru.com.sg/listing/22912104/for-sale-ct-hub,For Sale - CT Hub,CT Hub,2 Kallang Avenue,1011,890000,880.32,,5h
900051,https://www.commercialguru.com.sg/listing/22686053/for-sale-northpoint-bizhub,For Sale - Northpoint Bizhub,Northpoint Bizhub,2 Yishun Industrial Street 1,1600,580000,362.50,,5h
900052,https://www.commercialguru.com.sg/listing/22762484/for-sale-935-yishun-central-1,For Sale - 935 Yishun Central 1,935 Yishun Central 1,935 Yishun Central 1,1001,3888888,"3,885.00",,6h
900053,https://www.commercialguru.com.sg/listing/21929603/for-sale-peninsula-plaza,For Sale - Peninsula Plaza,Peninsula Plaza,111 North Bridge Road,323,1680000,"5,201.24",,6h
900054,https://www.commercialguru.com.sg/listing/21101547/for-sale-queensway-shopping-centre,For Sale - Queensway Shopping Centre,Queensway Shopping Centre,1 Queensway,140,628000,"4,485.71",,6h
900055,https://www.commercialguru.com.sg/listing/22287787/for-sale-ct-foodchain,For Sale - CT Foodchain,CT Foodchain,200 Pandan Loop,1819,1890000,"1,039.03",,6h
900056,https://www.commercialguru.com.sg/listing/21722583/for-sale-inspace,For Sale - Inspace,Inspace,24 New Industrial Road,2347,1733000,738.39,,6h
900057,https://www.commercialguru.com.sg/listing/22930738/for-sale-oxley-bizhub,For Sale - Oxley BizHub,Oxley BizHub,61 Ubi Road 1,1896,980000,516.88,,6h
900058,https://www.commercialguru.com.sg/listing/22063008/for-sale-21-ghim-moh-road,For Sale - 21 Ghim Moh Road,21 Ghim Moh Road,21 Ghim Moh Road,1474,1900000,"1,289.01",,6h
900059,https://www.commercialguru.com.sg/listing/22277971/for-sale-247-hougang-avenue-3,For Sale - 247 Hougang Avenue 3,247 Hougang Avenue 3,247 Hougang Avenue 3,1851,1900000,"1,026.47",,6h
900060,https://www.commercialguru.com.sg/listing/22273133/for-sale-mactaggart-foodlink,For Sale - Mactaggart Foodlink,Mactaggart Foodlink,20 Mactaggart Road,2637,2900000,"1,099.73",,6h
900061,https://www.commercialguru.com.sg/listing/22867636/for-sale-vision-exchange,For Sale - Vision Exchange,Vision Exchange,,517,1150000,"2,224.37",,6h
900062,https://www.commercialguru.com.sg/listing/20608716/for-sale-link-amk,For Sale - Link @ AMK,Link @ AMK,3 Ang Mo Kio Street 62,2153,948000,440.32,,6h
900063,https://www.commercialguru.com.sg/listing/21719931/for-sale-vision-exchange,For Sale - Vision Exchange,Vision Exchange,2 Venture Drive,518,1220000,"2,355.21",,6h
900064,https://www.commercialguru.com.sg/listing/21719931/for-sale-vision-exchange,For Sale - Vision Exchange,Vision Exchange,2 Venture Drive,518,1220000,"2,355.21",,6h
900065,https://www.commercialguru.com.sg/listing/19347618/for-sale-vision-exchange,For Sale - Vision Exchange,Vision Exchange,2 venture drive,517,1282000,"2,479.69",,6h
900066,https://www.commercialguru.com.sg/listing/22169729/for-sale-opal-crescent,For Sale - Opal Crescent,Opal Crescent,13 Opal Crescent,2500,4200000,"1,680.00",,6h
900067,https://www.commercialguru.com.sg/listing/21199876/for-sale-suites-at-bukit-timah,For Sale - Suites at Bukit Timah,Suites at Bukit Timah,68 Jalan Jurong Kechil,118,500000,"4,237.29",,6h
900068,https://www.commercialguru.com.sg/listing/22934563/for-sale-183-toa-payoh-central,For Sale - 183 Toa Payoh Central,183 Toa Payoh Central,183 Toa Payoh Central,1345,6300000,"4,684.01",,6h
900069,https://www.commercialguru.com.sg/listing/22953375/for-sale-dunlop-street-near-serangoon-road-2-storey-shophouse,For Sale - Dunlop Street near Serangoon Road 2 storey Shophouse,Dunlop Street near Serangoon Road 2 storey Shophouse,Dunlop Street,1600,13000,8.12,,6h
900070,https://www.commercialguru.com.sg/listing/22933783/for-sale-4-changi-village-road,For Sale - 4 Changi Village Road,4 Changi Village Road,4 Changi Village Road,1420,1999000,"1,407.75",,6h
900071,https://www.commercialguru.com.sg/listing/22934048/for-sale-208-new-upper-changi-road,For Sale - 208 New Upper Changi Road,208 New Upper Changi Road,208 New Upper Changi Road,1602,6200000,"3,870.16",,6h
900072,https://www.commercialguru.com.sg/listing/22934498/for-sale-720-ang-mo-kio-avenue-6,For Sale - 720 Ang Mo Kio Avenue 6,720 Ang Mo Kio Avenue 6,720 Ang Mo Kio Avenue 6,1592,4300000,"2,701.01",,6h
900073,https://www.commercialguru.com.sg/listing/20996092/for-sale-rowell-road-3-sty-rare-freehold-shophouse,For Sale - Rowell Road - 3-Sty (Rare) Freehold Shophouse,Rowell Road - 3-Sty (Rare) Freehold Shophouse,Rowell Road,3272,3500000,"1,069.68",,6h
