id,link,project
810047,https://www.commercialguru.com.sg/project/19135/150-cecil-street,150 Cecil Street,150 Cecil Street,069543
810048,https://www.commercialguru.com.sg/project/23021/155-kallang-way,155 Kallang Way,155 Kallang Way,349244
810049,https://www.commercialguru.com.sg/project/23023/155a-kallang-way,155A Kallang Way,155A Kallang Way,349254
810050,https://www.commercialguru.com.sg/project/19354/158-cecil-street,158 Cecil Street,158 Cecil Street,069545
810051,https://www.commercialguru.com.sg/project/23049/16-kallang-place,16 Kallang Place,16 Kallang Place,339156
810052,https://www.commercialguru.com.sg/project/19698/16-shaw-road,16 Shaw Road,16 Shaw Road,367954
810053,https://www.commercialguru.com.sg/project/22301/16-tuas-avenue-9,16 Tuas Avenue 9,16 Tuas Avenue 9,639176
810054,https://www.commercialguru.com.sg/project/22263/16-tuas-crescent,16 Tuas Crescent,16 Tuas Crescent,638710
810055,https://www.commercialguru.com.sg/project/23024/161-kallang-way,161 Kallang Way,161 Kallang Way,349247
810056,https://www.commercialguru.com.sg/project/23632/18-new-industrial,18 New Industrial,18 New Industrial Road,536205
810057,https://www.commercialguru.com.sg/project/23786/18-robinson-road,18 Robinson Road,18 Robinson Road,048547
810058,https://www.commercialguru.com.sg/project/23787/18-robinson-road,18 Robinson Road,18 Robinson Road,048547
810059,https://www.commercialguru.com.sg/project/22439/183-longhaus,183 Longhaus,183 Upper Thomson Road,574332
810060,https://www.commercialguru.com.sg/project/23042/19-changi-south-street-1,19 Changi South Street 1,19 Changi North Street 1,486779
810061,https://www.commercialguru.com.sg/project/23013/19-kallang-avenue,19 Kallang Avenue,19 Kallang Avenue,339410
810062,https://www.commercialguru.com.sg/project/23617/1953,1953,1 Tessensohn Road,217701
810063,https://www.commercialguru.com.sg/project/22999/2-kaki-bukit-avenue-1,2 Kaki Bukit Avenue 1,2 Kaki Bukit Avenue 1,417938
810064,https://www.commercialguru.com.sg/project/20392/20-collyer-quay,20 Collyer Quay,20 Collyer Quay,049319
810065,https://www.commercialguru.com.sg/project/23162/20-tuas-avenue-1,20 Tuas Avenue 1,20 Tuas Avenue 1,639532
810066,https://www.commercialguru.com.sg/project/23159/20-tuas-avenue-6,20 Tuas Avenue 6,20 Tuas Avenue 6,639307
810067,https://www.commercialguru.com.sg/project/19063/2003-bukit-batok-industrial-park-a,2003 Bukit Batok Industrial Park A,2003 Bukit Batok Industrial Park A,659714
810068,https://www.commercialguru.com.sg/project/23150/21-changi-south-avenue-2,21 Changi South Avenue 2,21 Changi South Avenue 2,486630
810069,https://www.commercialguru.com.sg/project/23612/21-china-street,21 China Street,21 China Street,049563
810070,https://www.commercialguru.com.sg/project/23014/21-kallang-avenue,21 Kallang Avenue,21 Kallang Avenue,339412
810071,https://www.commercialguru.com.sg/project/23124/211-henderson,211 Henderson,211 Henderson Road,159552
810072,https://www.commercialguru.com.sg/project/22346/21b-temple-street,21B Temple Street,21B Temple Street,058566
810073,https://www.commercialguru.com.sg/project/23815/22-havelock-road,22 Havelock Road,22 Havelock Rd,160022
810074,https://www.commercialguru.com.sg/project/21463/223-mountbatten,223 @ Mountbatten,223 Mountbatten Road,398008
810075,https://www.commercialguru.com.sg/project/23015/23-kallang-avenue,23 Kallang Avenue,23 Kallang Avenue,339414
810076,https://www.commercialguru.com.sg/project/23016/25-kallang-avenue,25 Kallang Avenue,25 Kallang Avenue,339416
810077,https://www.commercialguru.com.sg/project/20444/25-ubi-road-4,25 Ubi Road 4,25 Ubi Road 4,408621
810078,https://www.commercialguru.com.sg/project/23009/26-kallang-place,26 Kallang Place,26 Kallang Place,339157
810079,https://www.commercialguru.com.sg/project/19064/26a-ang-mo-kio-industrial-park-2,26A Ang Mo Kio Industrial Park 2,26A Ang Mo Kio Industrial Park 2,569507
810080,https://www.commercialguru.com.sg/project/23010/26a-kallang-place,26A Kallang Place,26A Kallang Place,339212
810081,https://www.commercialguru.com.sg/project/19212/27-penjuru-lane,27 Penjuru Lane,27 Penjuru Lane,609195
810082,https://www.commercialguru.com.sg/project/19841/27-ubi-road-4,27 Ubi Road 4,27 Ubi Road 4,408618
810083,https://www.commercialguru.com.sg/project/22011/272a-south-bridge-road,272A south bridge road,272A South Bridge Road,058821
810084,https://www.commercialguru.com.sg/project/23011/28-kallang-place,28 Kallang Place,28 Kallang Place,339158
810085,https://www.commercialguru.com.sg/project/23769/284-bishan-street-22,284 Bishan Street 22,284 Bishan Street 22,570284
810086,https://www.commercialguru.com.sg/project/21717/28rc-suites,28RC Suites,28 Race Course Lane,218000
810087,https://www.commercialguru.com.sg/project/22850/29-club-street,29 Club Street,29 Club Street,069414
810088,https://www.commercialguru.com.sg/project/22851/29a-club-street,29A Club Street,29A Club Street,069414
810089,https://www.commercialguru.com.sg/project/22852/29b-club-street,29B Club Street,29B Club Street,069414
810090,https://www.commercialguru.com.sg/project/23184/3-fusionopolis-place,3 Fusionopolis Place,3 Fusionopolis Place,138523
810091,https://www.commercialguru.com.sg/project/23012/30-kallang-place,30 Kallang Place,30 Kallang Place,339159
810092,https://www.commercialguru.com.sg/project/20104/30-old-toh-tuck-road,30 Old Toh Tuck Road,30 Old Toh Tuck Road,597654
810093,https://www.commercialguru.com.sg/project/23812/300-changi-road,300 Changi Road,300 Changi Road,419778
810094,https://www.commercialguru.com.sg/project/19065/3011-bedok-industrial-park-e,3011 Bedok Industrial Park E,3011 Bedok Industrial Park E,489977
810095,https://www.commercialguru.com.sg/project/23018/3014a-ubi-road-1,3014A Ubi Road 1,3014A Ubi Road 1,408703
810096,https://www.commercialguru.com.sg/project/23019/3014b-ubi-road-1,3014B Ubi Road 1,3014B Ubi Road 1,408722
810097,https://www.commercialguru.com.sg/project/23020/3015a-ubi-road-1,3015A Ubi Road 1,3015A Ubi Road 1,408705
810098,https://www.commercialguru.com.sg/project/23044/30a-kallang-place,30A Kallang Place,30A Kallang Place,339213
810099,https://www.commercialguru.com.sg/project/22222/31-international-business-park,31 International Business Park,31 International Business Park,609921
810100,https://www.commercialguru.com.sg/project/19139/31-ubi-road-1,31 Ubi Road 1,31 Ubi Road 1,408694
810101,https://www.commercialguru.com.sg/project/19066/313-somerset,313 @ Somerset,313 Orchard Road,238895
