300028,https://www.propertyguru.com.sg/listing/21568769/for-rent-st-michael-s-condo,For Rent - St Michael's Condo,St Michael's Condo,19 Saint Michael's Road,958,3000 ,3.13,3 ,2 ,Ready to move,5h
300029,https://www.propertyguru.com.sg/listing/21795983/for-rent-commonwealth-towers,For Rent - Commonwealth Towers,Commonwealth Towers,commonwealth Avenue,441,2500 ,5.67,1 ,1 ,Available from 9 Jul,5h
300030,https://www.propertyguru.com.sg/listing/22824209/for-rent-goodwood-residence,For Rent - Goodwood Residence,Goodwood Residence,261 Bukit Timah Road,2486,12788 ,5.14,4 ,4 ,Ready to move,5h
300031,https://www.propertyguru.com.sg/listing/21297058/for-rent-76-shenton,For Rent - 76 Shenton,76 Shenton,76 Shenton Way,969,5000 ,5.16,2 ,2 ,Ready to move,5h
300032,https://www.propertyguru.com.sg/listing/22506198/for-rent-parc-riviera,For Rent - Parc Riviera,Parc Riviera,101 West Coast Vale,646,2500 ,3.87,2 ,2 ,Ready to move,5h
300033,https://www.propertyguru.com.sg/listing/18723296/for-rent-the-balmoral,For Rent - The Balmoral,The Balmoral,18 Balmoral Park,3200,7200 ,2.25,4 ,5 ,Ready to move,6h
300034,https://www.propertyguru.com.sg/listing/19616408/for-rent-the-lakeshore,For Rent - The Lakeshore,The Lakeshore,31 Jurong West Street 41,1163,3200 ,2.75,3 ,3 ,Ready to move,6h
300035,https://www.propertyguru.com.sg/listing/20027815/for-rent-robin-residences,For Rent - Robin Residences,Robin Residences,3 Robin Drive,409,2600 ,6.36,,,Ready to move,6h
300036,https://www.propertyguru.com.sg/listing/22864651/for-rent-robin-residences,For Rent - ROBIN RESIDENCES,ROBIN RESIDENCES,ROBIN DRIVE,549,3250 ,5.92,2 ,1 ,Available from 3 Aug,6h
300037,https://www.propertyguru.com.sg/listing/22701706/for-rent-marina-bay-residences,For Rent - Marina Bay Residences,Marina Bay Residences,18 Marina Boulevard,1217,6800 ,5.59,2 ,2 ,Available from 20 Jul,6h
300038,https://www.propertyguru.com.sg/listing/21798535/for-rent-the-laurels-cairnhill-road,For Rent - The Laurels @ Cairnhill Road,The Laurels @ Cairnhill Road,38 Cairnhill Road,883,5000 ,5.66,2 ,2 ,Ready to move,6h
300039,https://www.propertyguru.com.sg/listing/19595711/for-rent-the-viridian,For Rent - The Viridian,The Viridian,6 Jalan Ampas,527,2500 ,4.74,1 ,1 ,Ready to move,6h
300040,https://www.propertyguru.com.sg/listing/21757075/for-rent-nassim-regency,For Rent - Nassim Regency,Nassim Regency,37 Nassim Road,2056,9500 ,4.62,3 ,3 ,Available from 1 Jul,6h
300041,https://www.propertyguru.com.sg/listing/22076136/for-rent-parvis,For Rent - Parvis,Parvis,18 Holland Hill,2800,12000 ,4.29,4 ,4 ,Available from 7 Aug,6h
